MYC2,ANAC072,ZFHD1,HOS1,SIZ1,WRKY18,WRKY40,AREB1,AREB2 ,ABF1,ABF3,DRIP1,MAP3K15,MKK4,MPK6,WRKY59,RD20,ICE1,MYB15,DREB1A,DREB1B,DREB1C,WRKY60,MYB2,ANAC019,ANAC055,RD22,ATAF1,DREB1D,ERD1,DREB2A,RD29A
AT1G32640,AT4G27410,AT1G69600,AT2G39810,AT3G25910,AT4G31800,AT1G80840,AT1G45249,AT3G19290,AT1G49720,AT4G34000,AT1G06770,AT5G55090,AT1G51660,AT2G43790,AT2G21900,AT2G33380,AT3G26744,AT3G23250,AT4G25480,AT4G25490,AT4G25470,AT2G25000,AT2G47190,AT1G52890,AT3G15500,AT5G25610,AT1G01720,AT5G51990,AT5G51070,AT5G05410,AT5G52310
8.941458,7.969076,7.588379,7.36084,7.54834,7.625977,7.817139,7.300374,7.539323,7.299177,7.826888,6.982959,6.949544,7.505859,8.028498,6.697266,7.759905,7.061957,7.414513,6.861572,8.14668,7.056315,7.129991,7.177979,7.381958,6.983154,9.200346,7.354085,7.272949,8.594866,6.958225,8.079044
8.507042,7.732552,6.912598,7.273298,7.679785,7.393111,7.360596,7.797445,7.71543,7.715193,8.453125,6.936279,6.981771,7.287936,7.518643,6.567383,7.51423,7.006727,7.211614,7.376465,8.601172,7.07487,6.916884,7.370239,7.37085,6.920654,9.485276,7.179036,7.07666,7.69308,7.421441,8.337546
8.630602,7.44388,7.401855,7.654611,7.266309,8.050071,8.251587,7.412598,7.397982,7.649972,7.403125,7.20498,6.998779,7.338567,7.704102,6.632161,7.64495,7.136176,7.001803,7.372314,8.072266,7.3986,6.940972,6.848999,7.112061,6.80957,8.916767,7.39266,7.253906,8.069685,7.394314,7.642348
8.533152,7.717578,7.735229,7.305001,7.69375,7.801758,8.553711,7.28776,7.236393,7.441197,7.764714,7.15498,7.193115,7.142653,7.376243,6.880208,8.022879,6.986654,7.294621,7.309082,8.637891,7.119792,6.867296,7.166016,6.983154,6.930176,10.12936,7.690023,6.848877,7.808315,7.589193,7.753159
8.193873,7.841732,7.506958,7.507708,7.776953,7.162198,7.609131,7.492025,7.568229,7.236677,7.877995,7.074463,7.03597,7.006836,7.816584,6.859701,7.100167,7.009549,6.977915,7.596924,8.399805,7.699056,6.944444,7.004761,7.482666,6.866333,9.288086,7.49528,7.305664,8.355469,7.352973,7.849552
8.533871,8.686784,7.848267,7.402309,7.869043,8.445135,8.337524,7.170817,7.244076,7.167132,7.710026,7.18457,7.200765,7.571364,7.158558,6.730794,7.438198,7.328885,7.444486,7.583496,8.060352,7.40918,7.168511,7.323364,8.639648,7.078735,9.802509,7.784749,7.343506,8.065744,8.234158,8.746324
7.656096,7.923177,7.083008,7.372105,7.399121,7.332386,7.972412,7.136882,7.550065,7.178641,7.878385,7.233643,7.187256,6.898813,7.300337,7.039388,8.302455,7.029514,7.034781,7.56665,8.305664,8.188802,7.216363,7.382202,7.384033,6.914429,9.299204,7.171143,7.146484,8.060024,7.102756,7.532744
9.122533,7.454102,7.233887,7.406738,7.698145,7.225763,8.611328,7.537516,7.576693,7.610212,7.786068,7.119727,6.995361,7.231295,7.685547,6.716797,8.095285,7.318468,7.433669,6.953125,8.227148,7.422363,7.099392,7.483765,7.242554,6.677734,10.62635,7.39445,7.063721,8.209194,8.025608,8.072036
8.740029,7.990039,7.537598,7.280413,7.422266,7.682528,8.731567,7.444499,7.635286,7.370187,8.146549,7.283594,6.974772,7.595177,7.516957,6.541341,7.979771,7.036567,7.686448,7.397705,9.158984,7.912598,7.154839,7.059692,7.473022,6.694946,9.658729,7.766683,7.009277,8.581055,7.585612,8.090131
9.424599,9.616602,7.334595,7.510603,7.703516,8.452681,8.567627,7.883219,7.981185,7.83531,8.312109,6.907471,7.016113,7.540565,7.768555,6.829102,8.481864,7.089952,7.221454,7.457764,8.677539,7.649414,7.167752,7.103638,9.393066,6.891968,10.20425,8.459635,7.276367,8.55964,8.186849,9.783605
8.919305,7.942773,7.184692,7.461251,7.988477,7.772372,8.723267,7.376221,7.868685,7.456961,8.477604,6.914551,6.864909,7.213041,7.655451,6.552083,8.375837,6.998264,7.319111,7.686035,8.183398,7.265951,6.924479,7.270386,7.877563,6.893188,9.523287,7.876628,6.972412,8.654855,7.556966,8.703412
9.716026,7.985026,7.195801,7.422294,7.74209,9.037908,9.323975,7.755208,7.524414,7.705357,7.931445,7.067773,7.205078,7.519381,7.638406,6.69694,8.397182,7.145942,8.076097,7.717285,8.104883,7.716634,6.880425,7.000977,8.244629,6.800903,10.30566,7.988037,7.169678,8.349609,8.338433,8.720301
8.563888,7.188607,7.332153,7.606864,7.540918,8.328391,8.213745,7.212728,7.580534,7.507394,7.366081,6.982471,7.008789,7.148738,7.708452,6.568685,6.9774,7.376953,7.037861,7.446777,7.747656,7.337728,6.952908,6.875732,7.072632,6.787598,8.806265,7.251058,7.390137,7.845389,7.206163,7.359949
8.976563,7.972656,7.418579,7.540109,7.459277,8.120028,8.90979,7.608643,7.638672,7.846052,8.260352,7.089502,6.882731,7.385216,7.753817,6.664063,7.763672,7.239692,6.873272,8.114258,8.435742,7.567546,6.86556,6.630615,6.970581,6.793701,10.48738,8.021077,6.751709,7.624163,8.041233,8.185145
8.996351,7.469727,7.68335,7.504813,7.396973,8.357333,8.126709,7.269206,7.507878,7.500558,7.338151,7.142236,7.150716,7.443059,7.593306,6.513997,6.928711,7.144423,7.243765,7.131592,8.216992,7.638997,6.73839,7.106079,7.438721,6.862427,8.237605,7.521403,7.18042,8.103795,7.260417,7.772116
8.972194,8.761328,7.624146,7.467913,8.058594,7.601296,8.266235,8.300374,8.748828,7.995187,8.166667,7.004248,7.098958,7.448918,7.469105,6.55013,8.423549,7.31326,7.097506,7.044922,7.72832,7.257324,7.246202,6.852417,7.624634,6.982056,9.635742,8.370443,7.04834,8.272635,8.088433,8.123392
9.071238,7.916146,7.728394,7.278285,7.45752,7.414329,8.413208,7.140544,7.579883,7.424526,8.057422,6.944287,6.931071,7.352389,7.700373,6.629883,7.943499,7.117079,7.310998,7.955078,8.538867,7.643066,7.101454,7.032104,6.97583,7.000488,8.935697,7.570475,7.216064,8.471226,7.543945,7.968118
9.336194,8.110286,7.4552,7.467983,7.619141,8.791016,9.428711,7.597412,8.288607,7.427176,7.966146,6.871582,7.029704,7.481746,7.906605,7.200195,8.108538,7.12283,7.094576,7.544189,7.960156,7.51123,6.998372,7.117676,8.027222,6.689453,10.53771,8.296712,6.994385,8.694859,8.391385,8.764763
8.708008,7.324414,7.595703,7.400565,7.299609,8.166903,8.292725,7.030436,7.243294,7.369978,7.738281,7.102832,7.000244,7.137545,7.508878,6.976237,7.946429,7.010091,7.232722,7.86084,8.694141,7.378743,6.95714,7.293823,6.944214,7.151855,9.267954,7.434082,7.379639,8.23992,7.229709,8.44313
8.939402,8.356836,7.780518,7.406076,7.490527,7.615146,8.723877,8.012858,8.427279,7.871303,8.414974,7.182373,6.779867,7.338492,7.716264,6.864909,7.739537,7.354492,7.150616,7.574951,8.648047,7.348796,7.041233,7.001709,7.221558,6.81189,10.0003,7.978353,6.990234,7.910645,7.777995,9.092601
9.090049,7.519466,7.288696,7.61921,7.694922,8.061701,8.367065,7.107666,7.551367,7.531808,7.304688,7.081982,6.931071,7.235953,7.738548,6.65625,7.365792,7.082465,7.337515,7.255615,8.120898,7.789225,6.853299,7.154907,7.680542,6.952271,8.153996,7.37557,7.037842,7.883894,7.139106,8.257008
9.609529,8.142448,7.499268,7.534354,7.66416,7.40989,8.304688,7.920329,7.470898,7.894741,8.041536,7.174268,6.7736,7.596454,7.718839,6.748372,7.928711,7.245768,7.350586,7.44458,8.846289,7.67985,7.01454,6.935547,7.723999,6.68811,10.20403,8.053955,7.398682,7.963658,8.403646,9.121496
9.373458,7.914779,7.506348,7.388184,7.633594,7.600053,8.478638,7.396647,7.758333,7.445382,8.23431,7.14082,7.259277,7.352614,7.879883,6.650716,7.559849,7.412543,7.275616,8.248779,9.058203,7.864583,7.102431,7.177612,7.606812,7.076294,9.72476,7.894613,7.042969,8.681641,7.445313,8.916648
9.618935,7.838086,7.091553,7.456264,7.995898,8.834783,9.410767,7.707438,8.073372,7.846819,8.232943,7.0604,6.832113,7.627103,7.651545,6.608398,8.283203,6.994141,7.734375,7.468994,8.491406,7.940918,7.008898,7.224121,7.33667,7.069214,10.28155,7.65682,7.258789,8.564209,8.547526,8.37029
8.962068,7.807422,7.403076,7.234794,7.690527,7.308416,8.096924,7.45516,7.731836,7.535156,7.376107,6.882471,7.090169,7.274189,7.742809,6.893229,7.596122,7.24707,7.532452,7.593262,8.756055,7.640951,7.08138,7.400635,7.522705,6.884155,9.100586,7.232096,6.742676,8.617048,7.061415,7.929573
8.673777,7.958398,7.399536,7.832938,7.847754,7.407848,7.958496,7.481852,7.998503,7.922712,8.065495,7.093213,7.035075,7.062876,7.921165,6.876953,7.761021,7.181207,7.048453,7.370361,9.14375,7.329264,7.217665,7.14856,7.749878,7.140137,9.963116,7.756104,6.989502,7.680001,7.968533,9.452608
8.363178,7.545833,7.404297,7.504464,7.55918,7.090376,7.852417,7.04598,7.635156,7.606097,7.90599,7.170996,7.128418,7.244591,7.554954,7.305664,7.578125,7.110243,6.929387,7.765137,8.089453,7.38737,7.263672,7.065674,7.231323,6.750732,8.547175,7.469645,7.488525,8.087891,6.954753,7.862132
9.390933,9.023112,7.371216,7.223214,8.289746,8.534979,8.490112,7.232666,8.058984,7.912109,7.995378,7.027734,6.810303,7.580754,7.884233,6.769206,7.494838,7.179579,7.091271,7.726074,8.570898,7.504883,6.845812,7.082031,8.608276,7.209595,9.891076,8.738851,7.456543,8.008859,8.359592,9.496438
8.398232,7.507292,7.846313,7.37929,7.541797,7.671165,8.216431,7.464355,7.427734,7.320871,7.536328,7.131738,6.959717,7.195838,7.570934,6.755859,7.28976,7.116536,7.219802,7.36792,8.19082,7.316732,7.060113,7.272827,7.068848,6.756714,8.510592,7.383219,7.083252,7.987898,7.804253,7.735352
9.297235,7.933464,8.0177,7.397391,7.699316,8.437678,9.10791,7.833984,7.567122,7.223842,7.845313,7.143115,7.248372,7.535532,7.406339,6.580729,7.746652,6.859375,7.224159,7.017334,8.313477,7.492025,7.176107,7.129028,7.939209,6.853882,10.24339,7.875244,7.35083,7.895717,8.399089,8.537914
8.551449,7.667904,8.0625,7.371233,7.445508,7.745561,7.589111,7.270915,7.232161,7.283133,7.491081,7.078711,7.200846,7.313702,7.338335,6.555339,7.694754,6.835069,7.174805,7.216553,7.916016,6.908529,7.273438,7.319946,7.301147,7.044067,8.339919,7.273112,7.58667,7.775879,7.213976,8.300609
8.873509,7.723438,8.125732,7.442976,7.180566,8.391868,8.808838,7.651611,7.395378,7.16476,7.61276,7.045215,6.998128,7.347882,7.299805,6.509115,7.601702,7.237956,7.349008,7.604248,8.033203,7.184245,7.288628,6.963867,7.400757,6.708618,9.869066,7.404215,7.533691,7.655308,7.986871,7.871209
8.191406,7.204167,7.807861,7.505057,7.216992,7.384233,8.108643,7.249023,7.280729,7.117676,7.283073,7.123096,7.092122,7.551382,7.329457,7.049805,7.099051,7.0727,7.170523,7.325439,8.091406,7.407552,7.092773,7.114746,7.380127,6.99939,8.464393,6.975505,7.22168,7.705845,7.501736,8.634306
8.991982,7.87168,7.870117,7.253139,7.526855,8.472212,9.126465,7.585042,7.504557,7.34368,7.423763,7.214111,7.344238,7.622371,7.321555,6.746745,7.756138,7.055773,7.513522,7.066406,7.870313,7.326172,7.331597,7.590576,7.236816,6.812012,9.751277,7.734212,7.644775,7.776995,8.563043,9.03958
8.794665,7.250326,7.29187,7.454555,7.346973,8.313033,8.59668,7.238851,7.408724,7.660924,7.466992,7.140283,7.180908,7.189603,7.855114,6.872396,7.773717,7.045573,7.280198,6.96875,8.608594,7.644694,7.197483,7.283813,7.217529,6.950562,8.835487,7.500651,7.097168,8.059291,7.705946,8.169577
9.491417,7.712305,7.180176,7.329973,7.413965,8.749645,9.149536,7.54126,7.784831,7.700335,7.689909,7.102197,6.93278,7.668419,8.000533,6.824544,8.410993,7.268663,7.708083,7.04248,7.69043,7.146647,7.03635,7.108643,7.689453,7.171875,10.05108,7.838786,7.002686,8.409389,8.636285,8.729148
8.75036,7.212565,7.839478,7.32244,7.655273,7.492276,8.288818,7.736572,7.501497,7.322614,8.063672,7.120996,6.920654,7.608023,7.889293,6.595378,7.843471,6.977322,7.243014,7.129883,7.812305,7.587728,6.980686,6.955566,7.267334,6.890137,8.688176,7.347493,6.966064,8.56686,7.368707,8.165384
